No,Nama Mahasiswa,Kampus,Prodi,Semester (1-6),Jam Tidur (0-11),Jam Bangun (0-12),Rata-Rata Screentime (0-18),Punya Pacar (Ya atau Tidak),Fekuensi Malam Minggu (0-3),Bermain Judol (Ya atau Tidak),Waktu Belajar (0-12),Pekerjaan Sampingan (Ya atau Tidak),IPK
211,Corresponden 211,Universitas 104,Teknik Kimia,6,22:00:00,4:00:00,7,Tidak,1,Tidak,5,Tidak,3.87
212,Corresponden 212,Universitas 6,Film,4,23:00:00,7:00:00,2,Tidak,1,Tidak,5,Tidak,3.85
213,Corresponden 213,Universitas 105,Pendidikan Sejarah,2,22:00:00,4:00:00,5,Tidak,2,Tidak,5,Tidak,4
214,Corresponden 214,Universitas 5,Analisis Farmasi dan Makanan,2,2:00:00,9:00:00,6,Tidak,1,Tidak,9,Ya,3.89
215,Corresponden 215,Universitas 64,Pendidikan Agama Islam,6,23:00:00,4:00:00,4,Tidak,1,Tidak,5,Tidak,3.82
216,Corresponden 216,Universitas 106,Ilmu Keperawatan,8,23:00:00,7:00:00,6,Tidak,1,Tidak,5,Tidak,3.86
217,Corresponden 217,Universitas 5,Teknologi Rekayasa Elektromedik,2,2:00:00,10:00:00,6,Tidak,1,Tidak,9,Tidak,3
218,Corresponden 218,Universitas 27,Sistem Infomarsi,2,0:00:00,5:00:00,4,Ya,3,Tidak,1,Ya,3.48
219,Corresponden 219,Universitas 64,pendidikan agama islam,3,22:00:00,5:00:00,6,Tidak,1,Tidak,1,Ya,3.49
220,Corresponden 220,Universitas 42,Arsitektur,2,2:00:00,7:00:00,4,Tidak,2,Tidak,5,Tidak,3.13
221,Corresponden 221,Universitas 33,Akuntansi,4,23:00:00,3:00:00,6,Ya,3,Tidak,3,Tidak,3.25
222,Corresponden 222,Universitas 64,Pendidikan Agama Islam,8,19:00:00,3:00:00,6,Ya,2,Tidak,1,Ya,3.84
223,Corresponden 223,Universitas 27,Manajemen Sumber Daya Manusia,6,22:00:00,6:00:00,5,Tidak,2,Tidak,5,Ya,3.33
224,Corresponden 224,Universitas 107,Teknik Informatika,8,23:00:00,6:00:00,6,Tidak,2,Tidak,3,Tidak,3.69
225,Corresponden 225,Universitas 2,Sistem Komputer,4,22:00:00,3:00:00,4,Tidak,1,Tidak,5,Ya,3.6
226,Corresponden 226,Universitas 64,Pendidikan Agama Islam,6,22:00:00,4:00:00,4,Tidak,2,Tidak,5,Ya,3.9
227,Corresponden 227,Universitas 27,Teknik Informatika,4,22:00:00,4:00:00,5,Ya,2,Tidak,3,Ya,3.57
228,Corresponden 228,Universitas 39,Ilmu Hukum,4,22:00:00,5:00:00,2,Tidak,1,Tidak,3,Ya,3
229,Corresponden 229,Universitas 71,Teknik Tenaga Listrik,4,23:00:00,5:00:00,6,Ya,3,Tidak,7,Tidak,3.49
230,Corresponden 230,Universitas 71,Teknik Tenaga Listrik,4,23:00:00,5:00:00,5,Ya,3,Tidak,3,Ya,3.49
231,Corresponden 231,Universitas 102,Kimia,4,22:00:00,5:00:00,3,Ya,2,Tidak,5,Ya,3.65
232,Corresponden 232,Universitas 108,Teknik Elektro,8,23:00:00,5:00:00,5,Tidak,0,Tidak,7,Ya,3.15
233,Corresponden 233,Universitas 64,Pendidikan Agama Islam,3,23:00:00,6:00:00,9,Tidak,1,Tidak,1,Tidak,3.3
234,Corresponden 234,Universitas 70,Biologi,2,22:00:00,4:00:00,4,Ya,1,Tidak,1,Tidak,3.7
235,Corresponden 235,Universitas 5,Farmasi,2,22:00:00,5:00:00,4,Ya,2,Tidak,3,Tidak,3.37
236,Corresponden 236,Universitas 109,Manajemen,6,23:00:00,5:00:00,2,Tidak,2,Tidak,7,Tidak,3.8
237,Corresponden 237,Universitas 17,Manajemen,4,23:00:00,4:00:00,3,Ya,2,Tidak,5,Ya,3.4
238,Corresponden 238,Universitas 13,Teknologi Industri,4,22:00:00,5:00:00,9,Ya,2,Tidak,5,Tidak,3.7
239,Corresponden 239,Universitas 46,Teknologi Laboratorium Medis,2,22:00:00,6:00:00,8,Tidak,1,Tidak,5,Tidak,3.7
240,Corresponden 240,Universitas 110,Akuntansi,6,1:00:00,5:00:00,4,Tidak,0,Tidak,7,Ya,4
241,Corresponden 241,Universitas 11,Sistem Informasi,2,23:00:00,4:00:00,6,Tidak,1,Tidak,5,Tidak,3
242,Corresponden 242,Universitas 64,Hukum,4,22:00:00,3:00:00,4,Tidak,0,Tidak,5,Tidak,3.91
243,Corresponden 243,Universitas 111,Teknik Mesin,8,22:00:00,5:00:00,7,Tidak,2,Tidak,3,Tidak,3.67
244,Corresponden 244,Universitas 33,Rekayasa Sipil,4,0:00:00,6:00:00,8,Tidak,1,Tidak,5,Tidak,3.85
245,Corresponden 245,Universitas 36,Arsitektur,8,22:00:00,5:00:00,6,Tidak,1,Tidak,3,Tidak,3.5
246,Corresponden 246,Universitas 68,Perjalanan Wisata,4,22:00:00,6:00:00,5,Tidak,3,Tidak,3,Tidak,3.75
247,Corresponden 247,Universitas 112,Teknik Informatika,2,23:00:00,5:00:00,5,Tidak,1,Tidak,3,Ya,3.65
248,Corresponden 248,Universitas 113,Akuntansi,2,23:00:00,7:00:00,5,Tidak,1,Tidak,7,Tidak,3.76
249,Corresponden 249,Universitas 61,Teknik Telekomunikasi,2,22:00:00,6:00:00,4,Tidak,0,Tidak,3,Tidak,3
250,Corresponden 250,Universitas 74,ilmu komunikasi,4,23:00:00,8:00:00,5,Ya,3,Tidak,1,Ya,3.3
251,Corresponden 251,Universitas 114,Teknik Mesin,2,23:00:00,4:00:00,2,Tidak,3,Tidak,5,Tidak,3.48
252,Corresponden 252,Universitas 16,Psikologi,2,22:00:00,4:00:00,4,Tidak,1,Tidak,4,Tidak,3.75
253,Corresponden 253,Universitas 13,Teknik Elektronika,4,22:00:00,4:00:00,7,Ya,3,Tidak,1,Tidak,3.19
254,Corresponden 254,Universitas 115,Pendidikan Guru Sekolah Dasar,2,22:00:00,5:00:00,3,Tidak,1,Tidak,9,Tidak,3.94
255,Corresponden 255,Universitas 18,Pendidikan Kimia,2,23:00:00,4:00:00,5,Tidak,1,Tidak,5,Tidak,3.54
256,Corresponden 256,Universitas 6,Bisnis Internasional,4,3:00:00,9:00:00,9,Ya,3,Ya,1,Tidak,3.1
257,Corresponden 257,Universitas 33,Teknik Informatika,2,0:00:00,5:00:00,6,Tidak,2,Tidak,5,Tidak,3.8
258,Corresponden 258,Universitas 50,Teknik Elektro,2,23:00:00,6:00:00,6,Tidak,2,Tidak,5,Tidak,2.8
259,Corresponden 259,Universitas 116,Ilmu Komunikasi,2,23:00:00,5:00:00,3,Tidak,1,Tidak,7,Tidak,3.82
260,Corresponden 260,Universitas 64,Psikologi,2,23:00:00,5:00:00,6,Tidak,0,Tidak,7,Tidak,3.82
261,Corresponden 261,Universitas 18,Teknik Elektro,2,22:00:00,5:00:00,4,Ya,1,Tidak,7,Tidak,3.7
262,Corresponden 262,Universitas 117,Teknik Industri,4,2:00:00,8:00:00,8,Tidak,3,Ya,1,Ya,3.2
263,Corresponden 263,Universitas 21,Akuntansi,2,21:00:00,4:00:00,5,Tidak,1,Tidak,5,Tidak,3.68
264,Corresponden 264,Universitas 6,Teknik Biomedis,4,23:00:00,5:00:00,1,Ya,1,Tidak,5,Tidak,3.8
265,Corresponden 265,Universitas 13,Teknik elektronika,4,23:00:00,5:00:00,5,Ya,3,Tidak,1,Tidak,3.3
266,Corresponden 266,Universitas 101,Akuntansi,2,1:00:00,5:00:00,5,Tidak,1,Tidak,12,Tidak,3.94
267,Corresponden 267,Universitas 118,Perpustakaan dan Informasi Islam,8,1:00:00,4:00:00,6,Tidak,1,Tidak,5,Tidak,3.58
268,Corresponden 268,Universitas 119,Manajemen Bisnis Syari'ah,4,23:00:00,5:00:00,6,Tidak,1,Tidak,3,Ya,3.75
269,Corresponden 269,Universitas 102,Pendidikan Bahasa Mandarin,2,0:00:00,5:00:00,5,Tidak,1,Tidak,5,Ya,3.75
270,Corresponden 270,Universitas 120,Ilmu Hukum,2,23:00:00,7:00:00,4,Ya,2,Tidak,3,Tidak,3.83
271,Corresponden 271,Universitas 17,Sosial Ekonomi Pertanian,2,23:00:00,4:00:00,7,Ya,1,Tidak,5,Tidak,3.8
272,Corresponden 272,Universitas 64,pendidikan agama Islam,3,23:00:00,6:00:00,4,Tidak,0,Tidak,1,Ya,3.82
273,Corresponden 273,Universitas 27,Teknik Informatika,2,1:00:00,5:00:00,6,Ya,2,Tidak,3,Tidak,3.39
274,Corresponden 274,Universitas 19,manajemen,7,1:00:00,10:00:00,6,Ya,1,Ya,1,Tidak,3.1
275,Corresponden 275,Universitas 121,Sistem dan Teknologi Informasi,7,21:00:00,4:00:00,3,Tidak,1,Tidak,1,Ya,3.76
276,Corresponden 276,Universitas 33,Teknik Informatika,2,22:00:00,6:00:00,4,Ya,1,Tidak,7,Tidak,3.5
277,Corresponden 277,Universitas 25,Akuntansi Perpajakan,6,22:00:00,5:00:00,4,Tidak,2,Tidak,5,Ya,3.3
278,Corresponden 278,Universitas 18,Bisnis Digital,2,22:00:00,4:00:00,4,Tidak,0,Tidak,7,Tidak,4
279,Corresponden 279,Universitas 33,Teknik Informatika,2,23:00:00,5:00:00,3,Tidak,1,Tidak,1,Ya,3.67
280,Corresponden 280,Universitas 122,Komunikasi dan Penyiaran Islam,2,22:00:00,4:00:00,2,Ya,1,Tidak,4,Ya,3.55
281,Corresponden 281,Universitas 67,Software Engineering,5,22:00:00,5:00:00,7,Ya,2,Tidak,3,Tidak,4.5
282,Corresponden 282,Universitas 11,Teknologi Rekayasa Otomotif,2,22:00:00,3:00:00,4,Tidak,1,Tidak,5,Ya,2.85
283,Corresponden 283,Universitas 64,Pendidikan Agama Islam,2,23:00:00,4:00:00,8,Tidak,1,Tidak,1,Tidak,3.66
284,Corresponden 284,Universitas 116,Hukum,2,0:00:00,3:00:00,4,Ya,1,Tidak,5,Tidak,3.99
285,Corresponden 285,Universitas 123,Manajemen Fakultas Ekonomi Bisnis,2,1:00:00,7:00:00,6,Tidak,1,Tidak,9,Tidak,3.48
286,Corresponden 286,Universitas 61,Farmasi,2,0:00:00,5:00:00,5,Ya,1,Tidak,7,Tidak,3.68
287,Corresponden 287,Universitas 39,Ilmu Hukum,4,0:00:00,7:00:00,6,Ya,2,Tidak,5,Ya,3.6
288,Corresponden 288,Universitas 43,Teknik Informasi,8,0:00:00,0:00:00,12,Ya,3,Tidak,2,Ya,4
289,Corresponden 289,Universitas 124,Pendidikan Guru Sekolah Dasar,6,23:00:00,5:00:00,2,Tidak,2,Tidak,5,Tidak,3.65
290,Corresponden 290,Universitas 43,Teknik Informatika,2,23:00:00,4:00:00,2,Tidak,1,Tidak,3,Tidak,4
291,Corresponden 291,Universitas 17,Kebidanan,2,22:00:00,5:00:00,3,Tidak,1,Tidak,9,Tidak,3.8
292,Corresponden 292,Universitas 36,Ilmu Keperawatan,2,22:00:00,5:00:00,5,Tidak,1,Tidak,5,Tidak,3.42
293,Corresponden 293,Universitas 35,Relasi Industri,6,23:00:00,4:00:00,6,Ya,0,Tidak,7,Ya,3.39
294,Corresponden 294,Universitas 2,Teknik Informatika,4,20:00:00,4:00:00,1,Ya,1,Tidak,9,Ya,3.89
295,Corresponden 295,Universitas 33,Ilmu Hukum,2,21:00:00,3:00:00,4,Ya,1,Tidak,5,Tidak,3.7
296,Corresponden 296,Universitas 125,Kesehatan Gigi,4,22:00:00,4:00:00,5,Ya,1,Tidak,5,Tidak,3.22
297,Corresponden 297,Universitas 13,Teknik Elektronika,4,23:00:00,5:00:00,5,Ya,3,Tidak,3,Tidak,3.5
298,Corresponden 298,Universitas 45,Akutansi,2,0:00:00,8:00:00,5,Tidak,1,Tidak,5,Ya,3.89
299,Corresponden 299,Universitas 74,Sistem Informasi,2,0:00:00,5:00:00,3,Tidak,2,Tidak,3,Tidak,3.95
300,Corresponden 300,Universitas 17,Arsitektur,4,23:00:00,9:00:00,2,Tidak,3,Tidak,5,Tidak,3.78
301,Corresponden 301,Universitas 96,Proteksi Tanaman,2,2:00:00,5:00:00,5,Tidak,3,Tidak,1,Tidak,3.65
302,Corresponden 302,Universitas 39,Ilmu Hukum,4,22:00:00,6:00:00,6,Ya,1,Tidak,3,Ya,3.25
303,Corresponden 303,Universitas 43,Teknok Informasi,1,0:00:00,4:00:00,12,Ya,2,Tidak,7,Ya,2.75
304,Corresponden 304,Universitas 13,Teknik Elektronika,4,2:00:00,5:00:00,8,Ya,3,Ya,1,Ya,3.2
305,Corresponden 305,Universitas 27,Ilmu Komunikasi,2,0:00:00,6:00:00,5,Ya,1,Tidak,4,Tidak,3.35
306,Corresponden 306,Universitas 126,Sistem Informasi,8,3:00:00,5:00:00,6,Ya,3,Ya,9,Ya,3.89
307,Corresponden 307,Universitas 5,Teknik Elektromedik,2,1:00:00,8:00:00,6,Ya,2,Tidak,5,Ya,3.4
308,Corresponden 308,Universitas 127,Manajemen Informasi Komunikasi,2,0:00:00,5:00:00,9,Tidak,0,Tidak,5,Ya,3.5
309,Corresponden 309,Universitas 128,Kesehatan Masyarakat,8,22:00:00,5:00:00,6,Ya,1,Tidak,7,Tidak,3.78
310,Corresponden 310,Universitas 4,Teknologi Informasi,2,23:00:00,9:00:00,3,Tidak,1,Tidak,1,Ya,4
311,Corresponden 311,Universitas 129,Ilmu komunikasi,2,21:00:00,4:00:00,5,Tidak,1,Tidak,2,Tidak,3.83
312,Corresponden 312,Universitas 130,Keperawatan,4,22:00:00,5:00:00,4,Tidak,2,Tidak,5,Tidak,3.97
313,Corresponden 313,Universitas 18,Ilmu Hukum,2,23:00:00,5:00:00,5,Tidak,1,Tidak,7,Tidak,3.47
314,Corresponden 314,Universitas 131,Kedokteran,2,23:00:00,6:00:00,6,Ya,2,Tidak,3,Tidak,3.8
315,Corresponden 315,Universitas 51,Statistika,2,0:00:00,3:00:00,4,Tidak,1,Tidak,3,Tidak,3.51
316,Corresponden 316,Universitas 15,Kehutanan,2,22:00:00,8:00:00,6,Tidak,1,Tidak,3,Tidak,3.14
317,Corresponden 317,Universitas 132,Agribisnis,2,1:00:00,7:00:00,6,Tidak,2,Tidak,5,Ya,3.5
318,Corresponden 318,Universitas 87,Teknik Telekomunikasi,4,23:00:00,5:00:00,5,Ya,1,Tidak,3,Tidak,3.15
319,Corresponden 319,Universitas 98,Psikologi,8,1:00:00,8:00:00,4,Ya,1,Tidak,3,Tidak,3.7
320,Corresponden 320,Universitas 9,Manajemen,2,23:00:00,5:00:00,5,Tidak,3,Tidak,5,Tidak,3.7
321,Corresponden 321,Universitas 21,Pendidikan Guru Sekolah Dasar,2,22:00:00,5:00:00,3,Tidak,2,Tidak,5,Tidak,3.55
322,Corresponden 322,Universitas 133,Teknik Informatika,2,22:00:00,6:00:00,4,Tidak,1,Tidak,7,Ya,3.5
323,Corresponden 323,Universitas 134,Psikologi,2,2:00:00,6:00:00,5,Ya,1,Tidak,1,Ya,3.8
324,Corresponden 324,Universitas 50,Film dan Animasi,6,23:00:00,4:00:00,2,Tidak,1,Tidak,5,Ya,3.42
325,Corresponden 325,Universitas 112,Teknik Informatika,2,0:00:00,4:00:00,3,Tidak,1,Tidak,1,Tidak,3.55
326,Corresponden 326,Universitas 40,Teknik Elektro,2,22:00:00,4:00:00,2,Tidak,1,Tidak,4,Ya,3.97
327,Corresponden 327,Universitas 135,Seni Patiseri,4,1:00:00,10:00:00,2,Ya,3,Tidak,9,Tidak,3.76
328,Corresponden 328,Universitas 136,Ilmu Hukum,8,2:00:00,5:00:00,5,Tidak,0,Tidak,7,Tidak,3.77
329,Corresponden 329,Universitas 11,Sistem Informasi Industri,2,23:00:00,4:00:00,6,Tidak,1,Tidak,5,Tidak,3.7
330,Corresponden 330,Universitas 36,Fisika,2,1:00:00,4:00:00,3,Ya,3,Tidak,11,Tidak,3.65
331,Corresponden 331,Universitas 117,Kedokteran,2,23:00:00,4:00:00,9,Ya,3,Tidak,5,Tidak,3.6
332,Corresponden 332,Universitas 43,Teknik Informasi,2,22:00:00,5:00:00,5,Tidak,0,Tidak,1,Tidak,3.5
333,Corresponden 333,Universitas 7,Matematika,8,22:00:00,6:00:00,6,Tidak,1,Tidak,3,Ya,4
334,Corresponden 334,Universitas 37,Sistem Informasi,4,0:00:00,4:00:00,10,Tidak,2,Tidak,3,Tidak,3.8
335,Corresponden 335,Universitas 51,Statistika,2,22:00:00,5:00:00,6,Tidak,1,Tidak,3,Tidak,3.8
336,Corresponden 336,Universitas 8,Kebidanan,4,22:00:00,4:00:00,3,Tidak,1,Tidak,3,Ya,4
337,Corresponden 337,Universitas 27,Manajemen,8,22:00:00,5:00:00,6,Ya,1,Tidak,1,Ya,3.5
338,Corresponden 338,Universitas 64,Teknik Industri,2,22:00:00,5:00:00,3,Tidak,0,Tidak,5,Tidak,3.34
339,Corresponden 339,Universitas 33,Desain komunikasi visual,4,22:00:00,5:00:00,4,Ya,1,Tidak,1,Ya,3.5
340,Corresponden 340,Universitas 74,Ilmu komunikasi,2,23:00:00,8:00:00,4,Ya,2,Tidak,3,Tidak,3.46
341,Corresponden 341,Universitas 74,Psikologi,2,22:00:00,5:00:00,6,Tidak,1,Tidak,3,Tidak,3.83
342,Corresponden 342,Universitas 137,Transportasi,2,21:00:00,4:00:00,3,Tidak,1,Tidak,4,Ya,3.65
343,Corresponden 343,Universitas 122,Teknik Informatika,2,23:00:00,5:00:00,3,Ya,2,Tidak,1,Ya,3.55
344,Corresponden 344,Universitas 27,Manajemen,2,22:00:00,5:00:00,6,Tidak,1,Tidak,1,Ya,3.47
345,Corresponden 345,Universitas 61,Teknik Elektro,6,1:00:00,8:00:00,6,Tidak,2,Tidak,5,Ya,3
346,Corresponden 346,Universitas 138,Manajemen Bisnis Syariah,2,23:00:00,4:00:00,8,Tidak,1,Tidak,4,Ya,3.75
347,Corresponden 347,Universitas 5,Teknik Elektromedik,2,22:00:00,5:00:00,5,Ya,1,Tidak,5,Ya,3.66
348,Corresponden 348,Universitas 9,Manajemen,2,20:00:00,6:00:00,1,Tidak,1,Tidak,9,Tidak,3.58
349,Corresponden 349,Universitas 97,Teknik Metalurgi,2,2:00:00,5:00:00,5,Tidak,1,Tidak,4,Tidak,3.68
350,Corresponden 350,Universitas 105,Pendidikan Sejarah,2,22:00:00,5:00:00,4,Tidak,1,Tidak,5,Tidak,4
351,Corresponden 351,Universitas 61,Teknik Informatika,2,22:00:00,4:00:00,12,Tidak,1,Tidak,5,Tidak,3.68
352,Corresponden 352,Universitas 139,Teknik Perminyakan,2,23:00:00,4:00:00,6,Tidak,2,Tidak,3,Ya,3.5
353,Corresponden 353,Universitas 74,Psikologi,2,20:00:00,7:00:00,3,Ya,2,Tidak,7,Ya,3.7
354,Corresponden 354,Universitas 140,Computer Science,8,23:00:00,4:00:00,6,Tidak,1,Tidak,1,Ya,3.15
355,Corresponden 355,Universitas 141,Kebidanan,4,22:00:00,5:00:00,2,Tidak,1,Tidak,3,Ya,3.9
356,Corresponden 356,Universitas 139,Ilmu Komunikasi,4,3:00:00,9:00:00,8,Ya,3,Ya,1,Tidak,3
357,Corresponden 357,Universitas 50,IT,4,19:00:00,7:00:00,8,Ya,3,Tidak,5,Ya,3.8
358,Corresponden 358,Universitas 118,Perpustakaan dan Informasi Islam,8,0:00:00,4:00:00,6,Tidak,1,Tidak,5,Tidak,3.65
359,Corresponden 359,Universitas 65,Pendidikan Matematika,4,1:00:00,4:00:00,5,Ya,2,Tidak,7,Ya,3.88
360,Corresponden 360,Universitas 142,Teknik Tekstil,2,23:00:00,6:00:00,6,Ya,2,Tidak,9,Ya,3.24
361,Corresponden 361,Universitas 27,Pendidikan Pancasila dan Kewarganegaraan,4,0:00:00,5:00:00,6,Tidak,2,Tidak,5,Ya,3.58
362,Corresponden 362,Universitas 143,Sastra Inggris,3,23:00:00,6:00:00,5,Tidak,1,Tidak,3,Ya,2.96
363,Corresponden 363,Universitas 144,Teknik Industri,8,22:00:00,8:00:00,6,Tidak,1,Tidak,7,Ya,3.93
364,Corresponden 364,Universitas 103,Administrasi Perkantoran,5,21:00:00,4:00:00,6,Ya,2,Tidak,9,Tidak,3.49
365,Corresponden 365,Universitas 51,Ilmu Komunikasi,2,23:00:00,5:00:00,6,Tidak,1,Tidak,3,Tidak,3.54
366,Corresponden 366,Universitas 145,Psikologi,8,19:00:00,5:00:00,7,Tidak,2,Tidak,3,Ya,3.76
367,Corresponden 367,Universitas 146,Ilmu Gizi,2,23:00:00,4:00:00,6,Ya,1,Tidak,9,Tidak,3.67
368,Corresponden 368,Universitas 36,Akuntansi,8,19:00:00,5:00:00,7,Tidak,1,Tidak,3,Tidak,3.74
369,Corresponden 369,Universitas 147,Hukum Internasional,4,22:00:00,6:00:00,9,Ya,3,Tidak,3,Tidak,3.5
370,Corresponden 370,Universitas 15,Manajemen Sumberdaya Akuatik,2,23:00:00,6:00:00,6,Ya,1,Tidak,3,Tidak,3.6
371,Corresponden 371,Universitas 61,Desain dan Komunikasi Visual,2,2:00:00,5:00:00,3,Tidak,1,Tidak,3,Tidak,3.6
372,Corresponden 372,Universitas 40,Teknik Elektro,2,23:00:00,4:00:00,5,Ya,2,Tidak,1,Tidak,3
373,Corresponden 373,Universitas 51,Pendidikan Guru Sekolah Dasar,6,23:00:00,5:00:00,6,Tidak,1,Tidak,3,Tidak,3.9
374,Corresponden 374,Universitas 11,Teknik Kimia Polimer,2,23:00:00,6:00:00,10,Tidak,0,Tidak,5,Ya,4
375,Corresponden 375,Universitas 15,Kehutanan,2,23:00:00,6:00:00,4,Tidak,1,Tidak,3,Tidak,3.78
376,Corresponden 376,Universitas 28," Ilmu Bedah Toraks, Kardiak, dan Vaskular ",2,22:00:00,4:00:00,6,Tidak,1,Tidak,5,Tidak,2.69
377,Corresponden 377,Universitas 4,Ilmu komunikasi broadcasting,2,21:00:00,4:00:00,2,Tidak,2,Ya,1,Tidak,4
378,Corresponden 378,Universitas 74,Sistem Informasi,12,23:00:00,6:00:00,5,Ya,2,Tidak,7,Ya,3.4
379,Corresponden 379,Universitas 148,Teknik Informatika,8,1:00:00,5:00:00,6,Tidak,1,Tidak,1,Ya,3.85
380,Corresponden 380,Universitas 51,Hukum,4,0:00:00,6:00:00,6,Tidak,1,Tidak,5,Tidak,3.8
381,Corresponden 381,Universitas 17,Manajemen,8,22:00:00,6:00:00,6,Ya,3,Tidak,1,Ya,3.65
382,Corresponden 382,Universitas 27,Teknik Informatika,2,23:00:00,5:00:00,3,Tidak,2,Tidak,9,Tidak,3.27
383,Corresponden 383,Universitas 148,Informatika,4,0:00:00,5:00:00,4,Tidak,0,Tidak,5,Tidak,3.2
384,Corresponden 384,Universitas 33,Ilmu komunikasi,2,22:00:00,4:00:00,2,Tidak,2,Tidak,1,Tidak,3.42
385,Corresponden 385,Universitas 149,Perbankan Syariah,2,0:00:00,5:00:00,4,Tidak,2,Tidak,5,Tidak,3.29
386,Corresponden 386,Universitas 35,Relasi Industri,8,22:00:00,4:00:00,5,Ya,2,Tidak,7,Tidak,3.55
387,Corresponden 387,Universitas 27,Manajemen,7,23:00:00,4:00:00,2,Ya,1,Tidak,7,Ya,3.55
388,Corresponden 388,Universitas 96,Peternakan,2,2:00:00,11:00:00,6,Tidak,1,Tidak,7,Tidak,3.46
389,Corresponden 389,Universitas 5,Teknik Elektromedis,2,23:00:00,7:00:00,5,Tidak,1,Tidak,9,Tidak,3.45
390,Corresponden 390,Universitas 27,Teknik Informatika,2,21:00:00,4:00:00,5,Ya,1,Tidak,3,Ya,3.41
391,Corresponden 391,Universitas 1,Hukum Ekonomi Syariah,4,22:00:00,4:00:00,2,Tidak,2,Tidak,1,Tidak,3.65
392,Corresponden 392,Universitas 17,Ilmu kelautan,6,23:00:00,8:00:00,8,Tidak,1,Ya,3,Tidak,3.4
393,Corresponden 393,Universitas 74,Teknik Elektronika,4,22:00:00,8:00:00,3,Ya,0,Tidak,5,Ya,3.86
394,Corresponden 394,Universitas 61,Teknik Sistem Energi,2,23:00:00,4:00:00,4,Tidak,2,Tidak,3,Tidak,3.65
395,Corresponden 395,Universitas 150,Manajemen Informatika,6,22:00:00,4:00:00,6,Tidak,2,Ya,5,Ya,3.48
396,Corresponden 396,Universitas 33,Teknik industri,4,22:00:00,5:00:00,7,Ya,1,Tidak,1,Ya,3.62
397,Corresponden 397,Universitas 151,Sastra Inggris,4,21:00:00,3:00:00,6,Tidak,1,Tidak,5,Tidak,3.75
398,Corresponden 398,Universitas 152,Pendidikan Guru Sekolah Dasar,2,1:00:00,7:00:00,6,Ya,3,Tidak,5,Tidak,3.75
399,Corresponden 399,Universitas 2,Teknik Informatika,2,23:00:00,6:00:00,5,Tidak,1,Tidak,3,Ya,3.88
400,Corresponden 400,Universitas 9,Teknik Informatika,2,20:00:00,5:00:00,6,Tidak,1,Tidak,5,Tidak,3
401,Corresponden 401,Universitas 33,Pendidikan Bahasa Inggris,4,2:00:00,9:00:00,4,Tidak,1,Ya,1,Ya,2.97
402,Corresponden 402,Universitas 87,Multimedia,6,22:00:00,3:00:00,2,Tidak,3,Tidak,7,Ya,3.89
403,Corresponden 403,Universitas 87,Manufaktur,2,0:00:00,4:00:00,6,Ya,1,Ya,1,Tidak,3.34
404,Corresponden 404,Universitas 54,Teknik Industri,2,22:00:00,4:00:00,5,Tidak,3,Tidak,4,Ya,3.23
405,Corresponden 405,Universitas 49,Pendidikan Agama Islam,8,1:00:00,3:00:00,4,Tidak,0,Tidak,5,Ya,3.8
406,Corresponden 406,Universitas 96,Teknologi Pangan,6,23:00:00,5:00:00,3,Ya,2,Tidak,7,Ya,3.2
407,Corresponden 407,Universitas 122,Teknik Informatika,2,23:00:00,5:00:00,2,Tidak,1,Tidak,4,Ya,3.65
408,Corresponden 408,Universitas 101,Kedokteran Hewan,4,2:00:00,6:00:00,4,Ya,3,Tidak,5,Tidak,3.64
409,Corresponden 409,Universitas 27,Manajemen,2,22:00:00,4:00:00,3,Ya,1,Tidak,1,Ya,3.5
410,Corresponden 410,Universitas 153,Manajemen Bisnis,2,23:00:00,6:00:00,6,Tidak,1,Tidak,3,Tidak,3.75
411,Corresponden 411,Universitas 64,Pendidikan Akuntansi,8,19:00:00,5:00:00,6,Ya,2,Tidak,1,Ya,3.67
412,Corresponden 412,Universitas 154,Pendidikan Kepelatihan Olahraga,4,21:00:00,4:00:00,4,Ya,1,Tidak,9,Ya,3.98
413,Corresponden 413,Universitas 35,Relasi Industri,6,22:00:00,5:00:00,6,Tidak,1,Tidak,7,Tidak,3.86
414,Corresponden 414,Universitas 27,Fakultas MIPA,5,23:00:00,5:00:00,8,Tidak,1,Tidak,1,Tidak,3.25
415,Corresponden 415,Universitas 33,Sistem Informasi z,6,0:00:00,6:00:00,7,Ya,3,Tidak,1,Ya,3.4
416,Corresponden 416,Universitas 27,Teknik Informatika,4,23:00:00,5:00:00,5,Tidak,1,Tidak,3,Ya,3.68
417,Corresponden 417,Universitas 9,Teknik Informatika,2,0:00:00,4:00:00,6,Tidak,1,Tidak,5,Tidak,3.5
418,Corresponden 418,Universitas 6,Desain Produk,2,21:00:00,3:00:00,2,Tidak,1,Tidak,5,Ya,3.79
419,Corresponden 419,Universitas 131,Teknik Elektro,4,23:00:00,8:00:00,8,Ya,3,Tidak,1,Ya,3.4
420,Corresponden 420,Universitas 16,Hukum Tata Negara,2,22:00:00,6:00:00,7,Tidak,1,Tidak,4,Ya,3.7
421,Corresponden 421,Universitas 155,Teknik Informatika,8,4:00:00,10:00:00,5,Ya,2,Tidak,3,Ya,2.9
422,Corresponden 422,Universitas 56,Teknik Kimia,2,23:00:00,4:00:00,4,Tidak,1,Tidak,3,Tidak,3.4
